molecule	gene	start	end	strand	orientation
X	FBgn0040373_CG3038	243954	245856	reverse	0
X	FBgn0000108_Appl	530501	579044	forward	1
X	FBgn0025640_CG13369	623468	624765	forward	1
X	FBgn0025635_Hinfp	625542	628016	forward	1
X	FBgn0001341_Mybbp1A	629773	633633	forward	1
X	FBgn0003575_su(sable)	635890	643760	forward	1
X	FBgn0025634_CG13367	644761	646386	forward	1
X	FBgn0025638_Roc1a	647304	648597	forward	1
X	FBgn0040383_CG5254	750347	758719	forward	1
X	FBgn0040382_CG5273	759594	761939	forward	1
X	FBgn0027343_fz3	769945	784222	forward	1
X	FBgn0025621_CG16989	793147	797061	forward	1
X	FBgn0029535_CG14635	844823	845297	forward	1
X	FBgn0026874_CG13358	803424	804921	reverse	0
X	FBgn0025616_CG13359	801669	803470	reverse	0
X	FBgn0015799_Rbf	797090	801479	reverse	0
X	FBgn0025620_CG13360	787855	790089	reverse	0
X	FBgn0015288_RpL22	762560	765130	reverse	0
X	FBgn0029532_CG13361	752011	753653	reverse	0
X	FBgn0029531_CG13362	749241	751301	reverse	0
X	FBgn0025639_Hmt4-20	648483	656033	reverse	0
X	FBgn0002579_RpL36	628338	629483	reverse	0
X	FBgn0026879_CG13364	624757	625203	reverse	0
X	FBgn0029529_CG13365	620717	621215	reverse	0
X	FBgn0025633_spdi	585081	620195	reverse	0
X	FBgn0040892_CG14634	862608	863200	forward	1
X	FBgn0040341_CG11664	875732	876612	forward	1
X	FBgn0029539_CG11663	894482	895200	forward	1
X	FBgn0040339_MED22	928139	928860	forward	1
X	FBgn0052815_CG32815	932466	939424	forward	1
X	FBgn0040340_TRAM	935232	937822	forward	1
X	FBgn0040347_mus81	941075	943229	forward	1
X	FBgn0042146_CG18823	990518	991184	forward	1
X	FBgn0029552_CG14631	1012035	1012624	forward	1
X	FBgn0040337_CG3021	1026791	1028290	forward	1
X	FBgn0040398_CG14629	1051525	1052631	forward	1
X	FBgn0040365_CG14628	1145644	1146132	forward	1
X	FBgn0040397_CG3655	1073041	1134896	reverse	0
X	FBgn0026143_Cdc45	1028291	1030556	reverse	0
X	FBgn0040351_CG11638	1013984	1026703	reverse	0
X	FBgn0040338_TfIIA-S-2	1011101	1011643	reverse	0
X	FBgn0040350_CG3690	948585	951900	reverse	0
X	FBgn0040349_CG3699	946662	947500	reverse	0
X	FBgn0040348_CG3703	942474	945773	reverse	0
X	FBgn0040346_CG3704	939170	940805	reverse	0
X	FBgn0040342_CG3706	930931	932475	reverse	0
X	FBgn0040345_CG3708	928798	930098	reverse	0
X	FBgn0040343_CG3713	846171	847157	reverse	0
X	FBgn0052814_eggpl	1019795	1026700	reverse	0
X	FBgn0040364_CG11378	1170828	1173797	forward	1
X	FBgn0040362_CG11379	1180165	1181551	forward	1
X	FBgn0040361_CG14627	1181620	1183502	forward	1
X	FBgn0040360_CG14626	1184778	1188585	forward	1
X	FBgn0040359_CG11380	1191308	1196660	forward	1
X	FBgn0040358_CG14625	1199546	1203157	forward	1
X	FBgn0029568_CG11381	1203777	1205433	forward	1
X	FBgn0040357_CG14624	1206737	1207555	forward	1
X	FBgn0040367_CG11382	1209970	1211853	forward	1
X	FBgn0025642_CG32812	1287290	1288945	forward	1
X	FBgn0004650_fs(1)N	1322513	1329438	forward	1
X	FBgn0024362_Naa30A	1342106	1344770	forward	1
X	FBgn0024361_Tsp2A	1346553	1348143	forward	1
X	FBgn0024364_CG11417	1354014	1356473	forward	1
X	FBgn0029573_CG14770	1369249	1370176	forward	1
X	FBgn0024987_ssx	1370580	1375257	forward	1
X	FBgn0023169_AMPKalpha	1375536	1378896	forward	1
X	FBgn0052813_CG32813	1380914	1392843	forward	1
X	FBgn0024985_Rilpl	1393054	1397337	forward	1
X	FBgn0027794_Lrpprc2	1457175	1460617	reverse	0
X	FBgn0027795_CG14785	1455215	1457054	reverse	0
X	FBgn0024986_CG3719	1378885	1380480	reverse	0
X	FBgn0000826_png	1356488	1357601	reverse	0
X	FBgn0024365_CG12773	1349623	1353981	reverse	0
X	FBgn0024360_MTPAP	1344872	1349357	reverse	0
X	FBgn0024366_CG11409	1329518	1341587	reverse	0
X	FBgn0025641_DAAM	1289713	1322362	reverse	0
X	FBgn0052811_CG32811	1297984	1298387	reverse	0
X	FBgn0028550_Atf3	1242740	1275284	reverse	0
X	FBgn0026876_CG11403	1236873	1239884	reverse	0
X	FBgn0040366_CG11398	1211989	1215156	reverse	0
X	FBgn0040363_CG11384	1173877	1176035	reverse	0
X	FBgn0040368_eIF4E7	1158599	1162389	reverse	0
X	FBgn0026872_CG14777	1466134	1468692	forward	1
X	FBgn0029580_CG14778	1467493	1470614	forward	1
X	FBgn0025383_CG14780	1472522	1473727	forward	1
X	FBgn0025381_rush	1478552	1481420	forward	1
X	FBgn0025394_inc	1483479	1517615	forward	1
X	FBgn0000482_dor	1665052	1668451	forward	1
X	FBgn0001189_hfw	1669570	1673608	forward	1
X	FBgn0029587_CG14797	1681566	1684891	forward	1
X	FBgn0024897_b6	1686624	1690187	forward	1
X	FBgn0025391_Scgdelta	1735945	1754065	reverse	0
X	FBgn0025378_CG3795	1708806	1710182	reverse	0
X	FBgn0023130_a6	1693615	1695889	reverse	0
X	FBgn0023530_CG3740	1668406	1669297	reverse	0
X	FBgn0025390_Mur2B	1523554	1668788	reverse	0
X	FBgn0025393_CG14795	1512227	1512803	reverse	0
X	FBgn0003517_sta	1481797	1483413	reverse	0
X	FBgn0044508_snoRNA:M	1482492	1482590	reverse	0
X	FBgn0025382_Rab27	1473884	1476974	reverse	0
X	FBgn0052808_CG32808	1468693	1469817	reverse	0
X	FBgn0027791_O-fut2	1464363	1465996	reverse	0
X	FBgn0027793_CG14787	1460807	1461676	reverse	0
X	FBgn0052806_CG32806	1789566	1790418	forward	1
X	FBgn0026873_MED18	1865909	1866887	forward	1
X	FBgn0023513_CG14803	1868870	1872408	forward	1
X	FBgn0014411_Vps26	1873853	1876474	forward	1
X	FBgn0023514_CG14805	1877317	1879077	forward	1
X	FBgn0029594_Coa8	1880282	1881432	forward	1
X	FBgn0023519_mRpL16	1890256	1891482	forward	1
X	FBgn0023509_mip130	1908239	1920318	forward	1
X	FBgn0023510_Rbcn-3B	1908920	1916825	forward	1
X	FBgn0023508_Ocrl	1922981	1927524	forward	1
X	FBgn0023522_unmet	1927683	1930517	forward	1
X	FBgn0023521_CG3587	1940307	1941536	forward	1
X	FBgn0025627_CG4194	2068592	2069688	forward	1
X	FBgn0025630_Rtca	2072413	2074890	forward	1
X	FBgn0025629_CG4045	2074795	2075900	reverse	0
X	FBgn0029596_CG14054	2065273	2066359	reverse	0
X	FBgn0025626_CG4281	2062313	2065142	reverse	0
X	FBgn0025625_Sik2	2055310	2061915	reverse	0
X	FBgn0025631_moody	2044292	2050120	reverse	0
X	FBgn0026878_CG4325	2042730	2043818	reverse	0
X	FBgn0000667_Actn	2023822	2042311	reverse	0
X	FBgn0003964_usp	2038798	2042311	reverse	0
X	FBgn0023545_PIG-K	2007911	2009364	reverse	0
X	FBgn0023520_CG3857	1937700	1940040	reverse	0
X	FBgn0023512_eIF2Bepsilon	1920166	1922874	reverse	0
X	FBgn0023511_Edem1	1903704	1908827	reverse	0
X	FBgn0052801_CG32801	1902082	1903177	reverse	0
X	FBgn0023518_trr	1881313	1889950	reverse	0
X	FBgn0026088_CG14818	1879019	1879774	reverse	0
X	FBgn0026089_CG14817	1876294	1877270	reverse	0
X	FBgn0023517_Pgam5	1872400	1873565	reverse	0
X	FBgn0023516_Pex5	1866832	1869061	reverse	0
X	FBgn0023515_Gcna	1862009	1865835	reverse	0
X	FBgn0028969_deltaCOP	1859141	1861790	reverse	0
X	FBgn0026090_Lamtor5	1857889	1858971	reverse	0
X	FBgn0029590_CG14811	1821469	1822381	reverse	0
X	FBgn0025624_CG4025	2076966	2078455	forward	1
X	FBgn0040395_Unc-76	2080610	2093948	forward	1
X	FBgn0000382_csw	2094234	2115701	forward	1
X	FBgn0023507_D2hgdh	2141489	2144937	forward	1
X	FBgn0004654_Pgd	2145136	2148566	forward	1
X	FBgn0023540_CG3630	2162196	2172281	forward	1
X	FBgn0025839_ND-B14.5A	2172526	2173432	forward	1
X	FBgn0011576_Cyp4d2	2176006	2178728	forward	1
X	FBgn0015036_Cyp4ae1	2179007	2180998	forward	1
X	FBgn0003116_pn	2181211	2182916	forward	1
X	FBgn0040899_CG17776	2184725	2185258	forward	1
X	FBgn0040900_CG17777	2186855	2187741	forward	1
X	FBgn0024984_CG3457	2187820	2188919	forward	1
X	FBgn0023549_Mct1	2189188	2205373	forward	1
X	FBgn0029606_CG14052	2223754	2224969	forward	1
X	FBgn0003048_pcx	2225296	2238045	forward	1
X	FBgn0000810_fs(1)K10	2242138	2246041	forward	1
X	FBgn0023523_Or2a	2246231	2247567	forward	1
X	FBgn0023527_CG3071	2262837	2264825	forward	1
X	FBgn0040391_CG2854	2327128	2328941	forward	1
X	FBgn0053218_lncRNA:CR33218	2330159	2330826	forward	1
X	FBgn0003079_Raf	2295466	2343870	forward	1
X	FBgn0003159_CG2841	2344949	2366356	reverse	0
X	FBgn0040389_mRpL14	2343997	2344649	reverse	0
X	FBgn0044047_Ilp6	2331493	2334658	reverse	0
X	FBgn0040392_CG14050	2324748	2326217	reverse	0
X	FBgn0023526_CG2865	2278031	2293411	reverse	0
X	FBgn0023529_Grp170	2271008	2275068	reverse	0
X	FBgn0023528_CG2924	2264657	2270761	reverse	0
X	FBgn0027296_temp	2260207	2262515	reverse	0
X	FBgn0023524_CG3078	2254403	2259863	reverse	0
X	FBgn0023525_CG3191	2250145	2251993	reverse	0
X	FBgn0000377_crn	2247594	2249983	reverse	0
X	FBgn0001330_kz	2237858	2242035	reverse	0
X	FBgn0004397_Vinc	2214347	2222567	reverse	0
X	FBgn0023550_FarO	2201820	2203866	reverse	0
X	FBgn0029603_CG14053	2191639	2193909	reverse	0
X	FBgn0023542_Nmd3	2182818	2184668	reverse	0
X	FBgn0023541_Cyp4d14	2173415	2175315	reverse	0
X	FBgn0005670_Cyp4d1	2159145	2162180	reverse	0
X	FBgn0004655_wapl	2149936	2158983	reverse	0
X	FBgn0013432_bcn92	2148463	2149647	reverse	0
X	FBgn0004861_ph-p	2126210	2138371	reverse	0
X	FBgn0004860_ph-d	2115727	2123286	reverse	0
X	FBgn0040394_CG16903	2078343	2080405	reverse	0
X	FBgn0040376_AANATL7	2580958	2583823	forward	1
X	FBgn0040066_wds	2585980	2588217	forward	1
X	FBgn0001404_egh	2588503	2599111	forward	1
X	FBgn0040336_Seipin	2619799	2622140	forward	1
X	FBgn0040333_brv3	2622069	2624575	reverse	0
X	FBgn0040334_Tsp3A	2617758	2619738	reverse	0
X	FBgn0029629_eIF3g1	2609247	2610336	reverse	0
X	FBgn0011566_Smyd3	2606680	2608876	reverse	0
X	FBgn0011606_Klp3A	2599158	2604052	reverse	0
X	FBgn0040375_CG13760	2583745	2585699	reverse	0
X	FBgn0040377_Vha36-3	2579091	2580560	reverse	0
X	FBgn0040388_boi	2444167	2470043	reverse	0
X	FBgn0003714_tko	2442313	2443976	reverse	0
X	FBgn0001150_gt	2427113	2428967	reverse	0
X	FBgn0052797_CG32797	2424925	2425855	reverse	0
X	FBgn0040385_CG12496	2409365	2410901	reverse	0
X	FBgn0003371_sgg	2633952	2679553	forward	1
X	FBgn0003068_per	2685580	2692780	forward	1
X	FBgn0024993_Lint-O	2698701	2701033	forward	1
X	FBgn0024996_eIF2Bbeta	2704571	2706217	forward	1
X	FBgn0024997_CG2681	2708684	2711668	forward	1
X	FBgn0024991_CG2694	2714079	2717654	forward	1
X	FBgn0000928_fs(1)Yb	2720468	2724158	forward	1
X	FBgn0000927_fs(1)Ya	2724286	2726577	forward	1
X	FBgn0000520_dwg	2727698	2730042	forward	1
X	FBgn0024975_CG2712	2732469	2734402	forward	1
X	FBgn0040356_CG12498	2809881	2810846	forward	1
X	FBgn0003996_w	2790599	2796466	reverse	0
X	FBgn0040384_CG32795	2782906	2790567	reverse	0
X	FBgn0024980_Syx4	2739089	2744076	reverse	0
X	FBgn0000376_crm	2734248	2738773	reverse	0
X	FBgn0024973_CG2701	2717638	2720327	reverse	0
X	FBgn0024998_CG2685	2711756	2713960	reverse	0
X	FBgn0024995_CG2680	2706151	2707427	reverse	0
X	FBgn0024994_Ugalt	2701124	2703852	reverse	0
X	FBgn0024992_Spg7	2694392	2698211	reverse	0
X	FBgn0000092_dyw	2692732	2693886	reverse	0
X	FBgn0025838_CG2652	2681987	2682932	reverse	0
X	FBgn0011276_HLH3B	2680199	2681723	reverse	0
X	FBgn0004647_N	3134870	3172221	forward	1
X	FBgn0040396_CG3939	3175018	3176223	forward	1
X	FBgn0000479_dnc	3176440	3343767	forward	1
X	FBgn0002933_ng1	3242412	3242934	forward	1
X	FBgn0003374_Sgs4	3250089	3251040	forward	1
X	FBgn0029660_CG10801	3460592	3462500	forward	1
X	FBgn0029662_CG12206	3465737	3474524	reverse	0
X	FBgn0029661_CG16781	3462474	3464044	reverse	0
X	FBgn0029659_CG16782	3459016	3460240	reverse	0
X	FBgn0029658_CG14269	3434943	3435807	reverse	0
X	FBgn0052493_tRNA:Gln-TTG-2-1	3427452	3427523	reverse	0
X	FBgn0029657_CG12535	3387944	3448943	reverse	0
X	FBgn0003086_Pig1	3248600	3249289	reverse	0
X	FBgn0010296_ng4	3243954	3244220	reverse	0
X	FBgn0010295_ng3	3241491	3242084	reverse	0
X	FBgn0010294_ng2	3240026	3240571	reverse	0
X	FBgn0040393_CG14265	3236130	3236686	reverse	0
X	FBgn0000644_Fcp3C	3173376	3174474	reverse	0
X	FBgn0028746_CG18508	3172268	3173140	reverse	0
X	FBgn0040355_CG3526	2890768	2894232	forward	1
X	FBgn0052793_CG32793	2929796	2932626	forward	1
X	FBgn0029642_CG3592	2935127	2935966	forward	1
X	FBgn0025645_CG3598	2937027	2938073	forward	1
X	FBgn0029643_CG14420	2938856	2940527	forward	1
X	FBgn0029644_CG14421	2941408	2942329	forward	1
X	FBgn0029645_CG14422	2943386	2944569	forward	1
X	FBgn0029646_CG14423	2945403	2946589	forward	1
X	FBgn0029647_CG17959	2947094	2947580	forward	1
X	FBgn0029648_CG3603	2948034	2949120	forward	1
X	FBgn0028369_kirre	2740384	3134532	forward	1
X	FBgn0029649_CG4116	3066615	3067562	reverse	0
X	FBgn0003285_rst	2950399	2973834	reverse	0
X	FBgn0025644_CG14424	2925884	2927258	reverse	0
X	FBgn0029639_CG14419	2885186	2885914	reverse	0
X	FBgn0040354_CG14418	2882226	2883661	reverse	0
X	FBgn0040353_CG14417	2875428	2876533	reverse	0
X	FBgn0040352_CG14416	2871884	2872853	reverse	0
X	FBgn0029664_CG10802	3482965	3484555	forward	1
X	FBgn0029666_CG10803	3485650	3490915	forward	1
X	FBgn0029669_CG13021	3514316	3515757	forward	1
X	FBgn0052792_ppk8	3557812	3572000	forward	1
X	FBgn0044046_Ilp7	3667621	3668845	forward	1
X	FBgn0023215_Mnt	3671801	3701672	forward	1
X	FBgn0015286_Rala	3704610	3719635	reverse	0
X	FBgn0023216_Parg	3668837	3671502	reverse	0
X	FBgn0029672_CG2875	3571456	3573622	reverse	0
X	FBgn0052791_DIP-alpha	3507245	3571649	reverse	0
X	FBgn0029667_Gas8	3491011	3504851	reverse	0
X	FBgn0029665_CG14270	3484605	3485378	reverse	0
X	FBgn0029663_CG10804	3476463	3482322	reverse	0
X	FBgn0052785_tRNA:Gln-CTG-2-1	3819699	3819770	forward	1
X	FBgn0025118_tRNA:Pro-CGG-3-1	3827622	3827693	forward	1
X	FBgn0028491_CG2930	3868973	3880379	forward	1
X	FBgn0029681_CG15239	3884168	3890486	forward	1
X	FBgn0029686_Glos	3936517	3940582	forward	1
X	FBgn0052786_Gem4b	3940847	3944265	forward	1
X	FBgn0052783_Gem4c	3945043	3948460	forward	1
X	FBgn0029687_Vap33	3948975	3955442	forward	1
X	FBgn0029690_CG6414	3968788	3971350	reverse	0
X	FBgn0029689_CG6428	3965435	3968655	reverse	0
X	FBgn0029688_lva	3955543	3965327	reverse	0
X	FBgn0029685_CG2938	3932000	3936469	reverse	0
X	FBgn0019661_lncRNA:roX1	3857230	3862697	reverse	0
X	FBgn0029694_CG15375	4101318	4102995	forward	1
X	FBgn0000221_brn	4104342	4105791	forward	1
X	FBgn0026084_cib	4106113	4110981	forward	1
X	FBgn0026085_dgt4	4113701	4114929	forward	1
X	FBgn0026083_tyf	4117020	4130016	forward	1
X	FBgn0066114_GlcAT-I	4131211	4132833	forward	1
X	FBgn0029697_CG15570	4218170	4223331	forward	1
X	FBgn0029701_CG12691	4266097	4266669	forward	1
X	FBgn0029702_CG15572	4268701	4271083	forward	1
X	FBgn0029706_Pdpr	4366417	4371136	forward	1
X	FBgn0029705_CG12693	4327080	4329457	reverse	0
X	FBgn0040907_mRpL33	4321764	4322231	reverse	0
X	FBgn0002707_mei-9	4314230	4318801	reverse	0
X	FBgn0040906_CG15579	4311279	4311799	reverse	0
X	FBgn0029703_CG12692	4300117	4302346	reverse	0
X	FBgn0040905_CG15578	4277547	4277961	reverse	0
X	FBgn0040904_CG15577	4276493	4277000	reverse	0
X	FBgn0029700_CG15576	4251870	4252790	reverse	0
X	FBgn0052774_Muc4B	4244095	4246139	reverse	0
X	FBgn0041252_Femcoat	4241887	4242826	reverse	0
X	FBgn0029696_CG15571	4216873	4217394	reverse	0
X	FBgn0000635_Fas2	4132887	4206093	reverse	0
X	FBgn0026080_Tip60	4114800	4117487	reverse	0
X	FBgn0026079_Nsun2	4111156	4113734	reverse	0
X	FBgn0004832_Xpac	4102955	4104197	reverse	0
X	FBgn0029693_Cmtr1	4097592	4101031	reverse	0
X	FBgn0000179_bi	4412856	4485647	forward	1
X	FBgn0029708_CG3556	4530231	4535464	forward	1
X	FBgn0029709_CHOp24	4540908	4542506	forward	1
X	FBgn0029710_CG3568	4542630	4544497	forward	1
X	FBgn0029712_CG15912	4549070	4549957	forward	1
X	FBgn0029714_CG3527	4551973	4553006	forward	1
X	FBgn0029716_CG3546	4558072	4560317	forward	1
X	FBgn0022768_Pp2C1	4679988	4686903	reverse	0
X	FBgn0029715_CG11444	4553117	4554398	reverse	0
X	FBgn0029713_CG11436	4549883	4551878	reverse	0
X	FBgn0029711_Usf	4544617	4548794	reverse	0
X	FBgn0003210_rb	4535635	4540626	reverse	0
X	FBgn0052773_lncRNA:CR32773	4387676	4611385	reverse	0
X	FBgn0011760_ctp	4687800	4702034	forward	1
X	FBgn0028325_Pdha1	4702284	4705265	forward	1
X	FBgn0029722_Pdha2	4705309	4707504	forward	1
X	FBgn0029727_CG6978	4784075	4786059	forward	1
X	FBgn0029729_CG12682	4825974	4826833	forward	1
X	FBgn0029730_boil	4875670	4877263	forward	1
X	FBgn0029733_CG6927	4906900	4908821	forward	1
X	FBgn0052772_CG32772	4909102	4915161	forward	1
X	FBgn0029737_Hgsnat	4918730	4921648	forward	1
X	FBgn0004368_Ptp4E	4939128	4955916	forward	1
X	FBgn0029740_CG12680	4997441	4998388	forward	1
X	FBgn0061196_CG15468	4959929	4961128	reverse	0
X	FBgn0029728_CG2861	4797231	4804862	reverse	0
X	FBgn0029726_CG15471	4782201	4782789	reverse	0
X	FBgn0029725_CG2871	4775984	4777375	reverse	0
X	FBgn0025679_Klf15	4770557	4771588	reverse	0
X	FBgn0029724_CG15472	4768727	4770137	reverse	0
X	FBgn0029745_Rpn13R	5131898	5132985	forward	1
X	FBgn0029746_CG15465	5085759	5254864	forward	1
X	FBgn0003449_snf	5309242	5310501	forward	1
X	FBgn0011761_dhd	5312171	5313125	forward	1
X	FBgn0029753_CG4198	5313258	5315190	forward	1
X	FBgn0029755_Sas10	5317409	5319071	forward	1
X	FBgn0014024_Rnp4F	5318928	5322696	reverse	0
X	FBgn0029754_CG15930	5315130	5317295	reverse	0
X	FBgn0029752_TrxT	5310581	5311888	reverse	0
X	FBgn0029751_CG17764	5306261	5307417	reverse	0
X	FBgn0029750_CG3323	5302988	5305691	reverse	0
X	FBgn0029747_CG5062	5180182	5182369	reverse	0
X	FBgn0052767_CG32767	5071027	5084768	reverse	0
X	FBgn0026751_XRCC1	5329876	5332435	forward	1
X	FBgn0010014_CanB	5332499	5334449	forward	1
X	FBgn0029761_SK	5340236	5405138	forward	1
X	FBgn0029763_Usp16-45	5421533	5427219	forward	1
X	FBgn0029765_CG16756	5427517	5428217	forward	1
X	FBgn0029766_CG15784	5429571	5432526	forward	1
X	FBgn0029768_SPR	5446656	5494012	forward	1
X	FBgn0029770_CG4151	5501476	5502782	forward	1
X	FBgn0029771_CG12730	5516608	5518771	forward	1
X	FBgn0026702_Pop1	5622648	5625493	forward	1
X	FBgn0004687_Mlc-c	5619136	5622539	reverse	0
X	FBgn0029778_RhoGAP5A	5616572	5618806	reverse	0
X	FBgn0052762_CG32762	5500208	5501229	reverse	0
X	FBgn0029769_frma	5493014	5496052	reverse	0
X	FBgn0029762_NAAT1	5405238	5410849	reverse	0
X	FBgn0029756_CG3309	5326675	5329347	reverse	0
X	FBgn0028474_CG4119	5666052	5670652	forward	1
X	FBgn0029785_RpL35	5672401	5673547	forward	1
X	FBgn0003747_Gr5a	5680617	5682488	forward	1
X	FBgn0000394_cv	5690002	5693084	forward	1
X	FBgn0029791_AdamTS-B	5698557	5708633	forward	1
X	FBgn0029795_CG15773	5732740	5734614	forward	1
X	FBgn0029798_Rtel1	5747747	5752077	forward	1
X	FBgn0029799_CG15772	5752249	5754041	forward	1
X	FBgn0029801_CG15771	5755574	5759751	forward	1
X	FBgn0029809_CG15767	5789487	5790919	forward	1
X	FBgn0029810_CG12239	5792140	5794543	forward	1
X	FBgn0029811_Cpr5C	5804677	5805344	forward	1
X	FBgn0029812_Prosbeta2R1	5808954	5810158	forward	1
X	FBgn0029814_CG15765	5818559	5840823	forward	1
X	FBgn0052761_tRNA:Glu-CTC-6-1Psi	5832298	5832368	forward	1
X	FBgn0029816_CG12729	5845280	5846106	forward	1
X	FBgn0029817_CG15764	5869095	5870266	forward	1
X	FBgn0029820_CG16721	5879869	5883391	forward	1
X	FBgn0029821_CG4020	5905746	5908001	forward	1
X	FBgn0029822_CG12236	5908135	5913079	forward	1
X	FBgn0029823_Shmt	5913067	5916797	reverse	0
X	FBgn0029819_Usp30	5877000	5879787	reverse	0
X	FBgn0014340_mof	5873840	5876853	reverse	0
X	FBgn0029818_GAA1	5870841	5873357	reverse	0
X	FBgn0029813_AgmNAT	5814864	5815820	reverse	0
X	FBgn0029807_CG3108	5777195	5781620	reverse	0
X	FBgn0029804_CG3097	5765855	5770780	reverse	0
X	FBgn0013987_MAPk-Ak2	5759908	5764203	reverse	0
X	FBgn0029800_lin-52	5753390	5754958	reverse	0
X	FBgn0261383_IntS6	5738663	5747254	reverse	0
X	FBgn0052758_Snx27	5719374	5738031	reverse	0
X	FBgn0053080_CG33080	5708559	5717778	reverse	0
X	FBgn0027564_CG3149	5692945	5695205	reverse	0
X	FBgn0029789_PGAP1	5685253	5689473	reverse	0
X	FBgn0046687_Tre1	5673830	5679977	reverse	0
X	FBgn0015794_Rab18	5670827	5671812	reverse	0
X	FBgn0029783_Sirt4	5664628	5665940	reverse	0
X	FBgn0029824_CG3726	5917097	5941852	forward	1
X	FBgn0029825_CG12728	5942606	5945250	forward	1
X	FBgn0052756_CG32756	5945682	5948353	forward	1
X	FBgn0029826_CG6041	5948160	5950208	forward	1
X	FBgn0052755_CG32755	5950251	5951711	forward	1
X	FBgn0029827_CG6048	5952565	5954046	forward	1
X	FBgn0029828_CG6067	5955629	5958283	forward	1
X	FBgn0029830_Grip	5966279	5986699	forward	1
X	FBgn0029831_CG5966	5988791	5992640	forward	1
X	FBgn0029833_MCTS1	6037892	6039576	forward	1
X	FBgn0029834_CG5937	6040005	6050381	forward	1
X	FBgn0029835_CG5921	6050828	6065646	forward	1
X	FBgn0029843_Nep1	6091205	6103971	forward	1
X	FBgn0029849_Efr	6219957	6222719	forward	1
X	FBgn0003514_sqh	6223061	6225140	reverse	0
X	FBgn0029848_Btnd	6217268	6219327	reverse	0
X	FBgn0040069_vanin-like	6200188	6202559	reverse	0
X	FBgn0052751_CG32751	6196580	6198654	reverse	0
X	FBgn0052750_CG32750	6194737	6196439	reverse	0
X	FBgn0026060_Mipp2	6082709	6091471	reverse	0
X	FBgn0029840_raptor	6082634	6090201	reverse	0
X	FBgn0029839_CG4660	6078708	6081372	reverse	0
X	FBgn0029838_CG4666	6076072	6077786	reverse	0
X	FBgn0029837_Tsp5D	6069131	6074857	reverse	0
X	FBgn0003302_rux	6035753	6037800	reverse	0
X	FBgn0029003_mab-21	6008183	6013181	reverse	0
X	FBgn0027546_CG4766	5997508	6000797	reverse	0
X	FBgn0005390_fs(1)M3	5958207	5964247	reverse	0
X	FBgn0029851_CG14445	6237315	6240558	forward	1
X	FBgn0015818_Spx	6255822	6257596	forward	1
X	FBgn0029853_Josd	6261169	6262119	forward	1
X	FBgn0028982_Spt6	6267797	6274984	forward	1
X	FBgn0029857_wuho	6288100	6289562	forward	1
X	FBgn0029858_mldr	6291303	6294177	forward	1
X	FBgn0029861_CG3815	6295389	6298970	forward	1
X	FBgn0029863_CG3823	6303975	6306745	forward	1
X	FBgn0029864_CG15894	6309212	6329828	forward	1
X	FBgn0029866_CG3842	6337762	6343731	forward	1
X	FBgn0029867_CG3847	6347103	6349236	forward	1
X	FBgn0052748_tRNA:Phe-GAA-1-1	6516974	6517046	forward	1
X	FBgn0029873_CG3918	6524464	6526342	forward	1
X	FBgn0014031_Agxt	6528948	6530726	forward	1
X	FBgn0000524_dx	6533999	6538575	forward	1
X	FBgn0014026_RpL7A	6530897	6533348	reverse	0
